Circunscripcion;poverty_income;poverty_multi;vulnerability
Puerto Nuevo;0;0;Not vulnerable
Puerto Ordaz;0;0;Not vulnerable
Puerto Principe;0;0;Not vulnerable
Pullally;0;0;Not vulnerable
Punta Lavapie;0;0;Not vulnerable
Putu;0;0;Not vulnerable
Puyehue (Entre Lagos);0;0;Not vulnerable
Puyuhuapi;0;0;Not vulnerable
Quehui;0;0;Not vulnerable
Quenac;0;0;Not vulnerable
Quenuir;0;0;Not vulnerable
Quepe;0;0;Not vulnerable
Queule;0;0;Not vulnerable
Quilacahuin;0;0;Not vulnerable
Quilimari;0;0;Not vulnerable
Quillagua;0;0;Not vulnerable
Quinchamali;0;0;Not vulnerable
Quinchao (Achao);0;0;Not vulnerable
Quino;0;0;Not vulnerable
Quito;0;0;Not vulnerable
Quitratue;0;0;Not vulnerable
Rabat;0;0;Not vulnerable
Radal;0;0;Not vulnerable
Rafael;0;0;Not vulnerable
Rahue;0;0;Not vulnerable
Rahue Sur;0;0;Not vulnerable
Ralco Lepoy;0;0;Not vulnerable
Ralun;0;0;Not vulnerable
Ramadillas;0;0;Not vulnerable
Rancagua Oriente;0;0;Not vulnerable
Ranguelmo;0;0;Not vulnerable
Ranquil (Ñipas);0;0;Not vulnerable
Rapel;0;0;Not vulnerable
Recinto;0;0;Not vulnerable
Recoleta Sur;0;0;Not vulnerable
Reñaca Bajo;0;0;Not vulnerable
Rere;0;0;Not vulnerable
Reumen;0;0;Not vulnerable
Riachuelo;0;0;Not vulnerable
Rilan;0;0;Not vulnerable
Riñihue;0;0;Not vulnerable
Riñinahue;0;0;Not vulnerable
Rio Claro (Cumpeo);0;0;Not vulnerable
Rio Colorado;0;0;Not vulnerable
Rio De Janeiro;0;0;Not vulnerable
Rio Gallegos;0;0;Not vulnerable
Rio Grande;0;0;Not vulnerable
Rio Hurtado (Samo Alto);0;0;Not vulnerable
Rio Tranquilo;0;0;Not vulnerable
Rolecha;0;0;Not vulnerable
Roma;0;0;Not vulnerable
Rosario;0;0;Not vulnerable
Rosario;0;0;Not vulnerable
Rucapequen;0;0;Not vulnerable
Salt Lake City;0;0;Not vulnerable
Salta;0;0;Not vulnerable
Saltos Del Laja;0;0;Not vulnerable
San Carlos De Puren;0;0;Not vulnerable
San Felix;0;0;Not vulnerable
San Francisco;0;0;Not vulnerable
San Jose;0;0;Not vulnerable
San Jose De Colico;0;0;Not vulnerable
San Jose De La Estrella;0;0;Not vulnerable
San Lorenzo De Tarapaca;0;0;Not vulnerable
San Luis;0;0;Not vulnerable
San Luis;0;0;Not vulnerable
San Miguel De Azapa;0;0;Not vulnerable
San Pedro De Alcantara;0;0;Not vulnerable
San Pedro De Quillota;0;0;Not vulnerable
San Ramon (Padre Las Casas);0;0;Not vulnerable
San Salvador;0;0;Not vulnerable
Santa Clara;0;0;Not vulnerable
Santa Fe;0;0;Not vulnerable
Santa Olga;0;0;Not vulnerable
Santa Rosa;0;0;Not vulnerable
Sao Paulo;0;0;Not vulnerable
Sarmiento;0;0;Not vulnerable
Sausalito;0;0;Not vulnerable
Sauzal;0;0;Not vulnerable
Seattle;0;0;Not vulnerable
Sector Ex Barrio Industrial De Arica;0;0;Not vulnerable
Selva Obscura;0;0;Not vulnerable
Seul;0;0;Not vulnerable
Shanghai;0;0;Not vulnerable
Sierra Gorda Norte;0;0;Not vulnerable
Singapur;0;0;Not vulnerable
Sotero Del Rio;0;0;Not vulnerable
Sydney;0;0;Not vulnerable
Tacna;0;0;Not vulnerable
Talcamavida;0;0;Not vulnerable
Tegualda;0;0;Not vulnerable
Tegucigalpa;0;0;Not vulnerable
Tel Aviv;0;0;Not vulnerable
Temuco Centro;0;0;Not vulnerable
Temuco Norte;0;0;Not vulnerable
Temuco Sur;0;0;Not vulnerable
Tenaun;0;0;Not vulnerable
Tierras Blancas;0;0;Not vulnerable
Tijeral;0;0;Not vulnerable
Toconey;0;0;Not vulnerable
Tokio;0;0;Not vulnerable
Tomeco;0;0;Not vulnerable
Tongoy;0;0;Not vulnerable
Toronto;0;0;Not vulnerable
Torres Del Paine (C. Castillo);0;0;Not vulnerable
Trelew;0;0;Not vulnerable
Tres Esquinas;0;0;Not vulnerable
Trinidad;0;0;Not vulnerable
Trovolhue;0;0;Not vulnerable
Trupan;0;0;Not vulnerable
Tubul;0;0;Not vulnerable
Tucapel (Huepil);0;0;Not vulnerable
Ushuaia;0;0;Not vulnerable
Valdivia De Paine;0;0;Not vulnerable
Valle Grande;0;0;Not vulnerable
Valle Simpson;0;0;Not vulnerable
Vancouver;0;0;Not vulnerable
Varsovia;0;0;Not vulnerable
Vegas De Itata;0;0;Not vulnerable
Ventanas;0;0;Not vulnerable
Viena;0;0;Not vulnerable
Vilches;0;0;Not vulnerable
Villa Amengual;0;0;Not vulnerable
Villa Cerro Castillo;0;0;Not vulnerable
Villa Ortega;0;0;Not vulnerable
Villa Prat;0;0;Not vulnerable
Villa Santa Lucia;0;0;Not vulnerable
Washington;0;0;Not vulnerable
Wellington;0;0;Not vulnerable
Winnipeg;0;0;Not vulnerable
Yumbel Estacion;0;0;Not vulnerable
Zagreb;0;0;Not vulnerable
Zuñiga;0;0;Not vulnerable
