Circunscripcion;poverty_income;poverty_multi;vulnerability
Pelluhue;0.19376692;0.29974462;Average
Curico;0.09851311;0.15172951;Not vulnerable
Hualañe;0.21385008;0.21142252;Vulnerable
Licanten;0.23263637;0.24303982;Vulnerable
Molina;0.13050635;0.16622861;Average
Rauco;0.18138953;0.23621109;Average
Romeral;0.11690577;0.24059632;Average
Sagrada Familia;0.1567053;0.19940694;Average
Teno;0.09153017;0.20634385;Not vulnerable
Vichuquen;0.17128331;0.37365512;Average
Linares;0.11340097;0.22914411;Average
Colbun;0.25091513;0.30506398;Vulnerable
Longavi;0.2385037;0.37316719;Vulnerable
Parral;0.16911426;0.23397966;Average
Retiro;0.22514205;0.31913125;Vulnerable
San Javier;0.20021908;0.29433982;Vulnerable
Villa Alegre;0.19620953;0.30523182;Average
Yerbas Buenas;0.22078633;0.32913822;Vulnerable
Coronel;0.11355252;0.14545671;Average
Chiguayante;0.08714971;0.12647706;Not vulnerable
Florida;0.15872625;0.37827812;Average
Hualqui;0.12908332;0.22151223;Average
Lota;0.18130009;0.19616061;Average
Penco;0.08586593;0.18259738;Not vulnerable
San Pedro de la Paz;0.12170364;0.1588287;Average
Santa Juana;0.15478639;0.29732238;Average
Talcahuano;0.07914328;0.16653557;Not vulnerable
Tome;0.07272963;0.21713104;Not vulnerable
Hualpen;0.10529945;0.10954233;Average
Lebu;0.132473;0.32239832;Average
Arauco;0.15933187;0.1839622;Average
Cañete;0.15803516;0.20061957;Average
Contulmo;0.24216284;0.29969568;Vulnerable
Curanilahue;0.12304258;0.12045073;Average
Los alamos;0.16085991;0.26651771;Average
Tirua;0.26080515;0.34881546;Vulnerable
Los angeles;0.17415379;0.16133263;Average
Antuco;0.28763007;0.19788192;Vulnerable
Cabrero;0.11202894;0.14102765;Average
Mulchen;0.14801229;0.24379123;Average
Nacimiento;0.17353189;0.25728964;Average
Negrete;0.17865508;0.22914528;Average
Quilaco;0.21121315;0.27591058;Vulnerable
Quilleco;0.16048127;0.25581265;Average
San Rosendo;0.20803186;0.17903816;Vulnerable
Santa Barbara;0.16387206;0.24442625;Average
Tucapel;0.1576684;0.19366997;Average
Yumbel;0.21028359;0.24692465;Vulnerable
Alto Biobio;0.39734079;0.60732401;Vulnerable
Carahue;0.24396579;0.51377302;Vulnerable
Cunco;0.19653942;0.34190476;Average
Curarrehue;0.22847045;0.54114033;Vulnerable
Freire;0.24020264;0.34135564;Vulnerable
Galvarino;0.37286297;0.54443293;Vulnerable
Gorbea;0.11297005;0.30234953;Average
Lautaro;0.16795547;0.22130998;Average
Loncoche;0.30205946;0.3107614;Vulnerable
Melipeuco;0.25711641;0.4064021;Vulnerable
Nueva Imperial;0.19880688;0.43547636;Average
Padre las Casas;0.196222;0.36161374;Average
Perquenco;0.219331;0.33647659;Vulnerable
Pitrufquen;0.10642299;0.2809266;Average
Pucon;0.08912129;0.27557437;Not vulnerable
Saavedra;0.35380893;0.54229918;Vulnerable
Teodoro Schmidt;0.27462362;0.3580627;Vulnerable
Tolten;0.35105058;0.46377859;Vulnerable
Vilcun;0.31972391;0.4359139;Vulnerable
Villarrica;0.12514797;0.27534851;Average
Cholchol;0.41604544;0.54167772;Vulnerable
Angol;0.15559463;0.2126753;Average
Collipulli;0.24027875;0.36564783;Vulnerable
Curacautin;0.14214784;0.25977156;Average
Ercilla;0.26687255;0.47276071;Vulnerable
Lonquimay;0.33480922;0.54934608;Vulnerable
Los Sauces;0.24080369;0.37334062;Vulnerable
Lumaco;0.33320903;0.47214555;Vulnerable
Puren;0.1770292;0.40113289;Average
Renaico;0.18578177;0.22198853;Average
Traiguen;0.21272821;0.32287048;Vulnerable
Victoria;0.22497901;0.32619713;Vulnerable
Calbuco;0.13465872;0.41103062;Average
Cochamo;0.13594979;0.34148517;Average
Fresia;0.18037101;0.32598359;Average
Frutillar;0.10357;0.26395348;Average
Los Muermos;0.10406882;0.3426447;Average
Llanquihue;0.13691201;0.21309504;Average
Maullin;0.16350048;0.3075604;Average
Puerto Varas;0.05874276;0.21093638;Not vulnerable
Castro;0.10125657;0.23231826;Average
Ancud;0.14518747;0.25042273;Average
Chonchi;0.12779166;0.34460325;Average
Curaco De Velez;0.13809998;0.31563732;Average
Dalcahue;0.11601071;0.25299398;Average
Puqueldon;0.13815176;0.38648381;Average
Queilen;0.1980326;0.41256904;Average
Quellon;0.13116244;0.36292533;Average
Quemchi;0.20322162;0.39798921;Vulnerable
Osorno;0.08518271;0.22033351;Not vulnerable
Puerto Octay;0.13996886;0.27432036;Average
Purranque;0.1123131;0.29530678;Average
Rio Negro;0.15314492;0.27933586;Average
San Juan de la Costa;0.32140196;0.53323309;Vulnerable
San Pablo;0.16609207;0.31613864;Average
Chaiten;0.12169462;0.26697705;Average
Futaleufu;0.10714858;0.28724009;Average
Hualaihue;0.16991809;0.29420334;Average
Palena;0.09957714;0.23938687;Not vulnerable
Coyhaique;0.02783752;0.18118717;Not vulnerable
Lago Verde;0.12039172;0.24961795;Average
Cisnes;0.06501931;0.17707007;Not vulnerable
Guaitecas;0.12203723;0.23771306;Average
Cochrane;0.05884153;0.21817137;Not vulnerable
Tortel;0.14457947;0.27297255;Average
Chile Chico;0.05257007;0.20140253;Not vulnerable
Rio Ibañez;0.06549319;0.2687927;Not vulnerable
Punta Arenas;0.02074918;0.10262304;Not vulnerable
Laguna Blanca;0.02925657;0.02656705;Not vulnerable
Rio Verde;0.00715318;0.09023525;Not vulnerable
San Gregorio;0.01344931;0.05825317;Not vulnerable
Porvenir;0.02104077;0.08291291;Not vulnerable
Primavera;0.0232769;0.0816723;Not vulnerable
Timaukel;0.00403033;0.00620752;Not vulnerable
Natales;0.02325635;0.14135254;Not vulnerable
Cerrillos;0.06476164;0.27421767;Not vulnerable
Cerro Navia;0.07585763;0.34635699;Not vulnerable
Huechuraba;0.05638061;0.2884373;Not vulnerable
Independencia;0.08502842;0.20910529;Not vulnerable
La Cisterna;0.06596486;0.17820372;Not vulnerable
La Granja;0.04751198;0.21910374;Not vulnerable
